fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
KIRSTEN C. DUGGINS,LOS GATOS,-121.95282,37.223438,,Shoulder arthroscopy/surgery,0,13,1,0,no,,-7,0,-6,37,duggins,
SOHEIL MOTAMED,FREMONT,-121.97392,37.566826,16,Shoulder arthroscopy/surgery,0,19,3,0,no,,1,0,4,79,motamed,
"NORTH BAY REGIONAL SURGERY CENTER, LLC",NOVATO,-122.55874,38.097019,,Shoulder arthroscopy/surgery,0,15,2,0,no,,1,0,3,74,"north bay regional surgery center, llc",
FRANK CHEN,PALO ALTO,-122.16225,37.439377,20,Shoulder arthroscopy/surgery,0,22,3,0,no,,-10,0,-7,22,chen,1
PACIFIC HEIGHTS SURGERY CENTER LP,SAN FRANCISCO,-122.44376,37.787674,,Shoulder arthroscopy/surgery,0,30,4,0,no,,-10,0,-6,37,pacific heights surgery center lp,1
KIRK L. JENSEN,LAFAYETTE,-122.11672,37.887825,,Shoulder arthroscopy/surgery,0,55,6,0,no,,1,0,7,85,jensen,
ASHAY A. KALE,FREMONT,-121.97392,37.566826,22,Shoulder arthroscopy/surgery,0,13,1,0,no,,1,0,2,58,kale,
REHAN KHAN,DALY CITY,-122.47291,37.680809,,Shoulder arthroscopy/surgery,0,62,6,0,no,,4,0,10,95,khan,
MIKAEL SIEWERT,SAN FRANCISCO,-122.45768,37.785908,,Shoulder arthroscopy/surgery,0,15,2,0,no,,-10,0,-8,11,siewert,1
ROBERT J. SMITH,SANTA ROSA,-122.69875,38.443611,,Shoulder arthroscopy/surgery,0,23,3,0,no,,-5,0,-2,53,smith,
NOAH D. WEISS,SONOMA,-122.46504,38.289295,28,Shoulder arthroscopy/surgery,0,14,1,0,no,,-10,0,-9,1,weiss,1
LOS ALTOS SURGERY CENTER,LOS ALTOS,-122.09289,37.359352,,Shoulder arthroscopy/surgery,0,12,1,0,no,,-10,0,-9,1,los altos surgery center,1
LAUREN E. STARK,FREMONT,-121.97392,37.566826,,Shoulder arthroscopy/surgery,0,29,4,0,no,,4,0,8,90,stark,
DOUGLAS J. BLATZ,CAMPBELL,-121.95432,37.26836,39,Shoulder arthroscopy/surgery,0,15,2,0,no,,-10,0,-8,11,blatz,1
PATRICK J. MCGAHAN,SAN FRANCISCO,-122.45448,37.773926,7,Shoulder arthroscopy/surgery,0,12,1,0,no,,1,0,2,58,mcgahan,
KNOWLES SURGERY CENTER LLC,LOS GATOS,-121.96602,37.261654,,Shoulder arthroscopy/surgery,0,19,3,0,no,,-10,0,-7,22,knowles surgery center llc,1
JOSEPH A. SULLIVAN,CAMPBELL,-121.95432,37.26836,,Shoulder arthroscopy/surgery,0,18,2,0,no,,-9,0,-7,22,sullivan,
ERIC S. SCHMIDT,SANTA ROSA,-122.69871,38.44265,34,Shoulder arthroscopy/surgery,0,29,4,0,no,,-10,0,-6,37,schmidt,1
PRECISION SURGICENTER LLC,FREMONT,-121.99804,37.532043,,Shoulder arthroscopy/surgery,0,12,1,0,no,,1,0,2,58,precision surgicenter llc,
