fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
KENNETH J. HAMMERMAN,SAN FRANCISCO,-122.41667,37.789135,45,Colonoscopy and biopsy,0,46,6,0,no,,-8,0,-2,51,hammerman,
ANMOL S. MAHAL,FREMONT,-121.9827,37.549034,42,Colonoscopy and biopsy,0,51,6,0,no,,1,0,7,96,mahal,
ROBERT H. DUNHAM,NAPA,-122.29395,38.325287,24,Colonoscopy and biopsy,0,26,4,0,no,,2,0,6,81,dunham,
"MORGAN HILL SURGERY CENTER, LP",MORGAN HILL,-121.63046,37.119884,,Colonoscopy and biopsy,0,62,6,0,no,,-10,0,-4,31,"morgan hill surgery center, lp",1
BETTY HO,REDWOOD CITY,-122.23868,37.487988,26,Colonoscopy and biopsy,0,25,4,0,no,,1,0,5,76,ho,
BART LALLY,MOUNTAIN VIEW,-122.06483,37.377022,51,Colonoscopy and biopsy,0,22,3,0,no,,-10,0,-7,16,lally,1
LAURENCE F. YEE,SAN FRANCISCO,-122.45768,37.785908,24,Colonoscopy and biopsy,0,20,3,0,no,,-7,0,-4,31,yee,
PHILLIP A. WOLFE,PLEASANTON,-121.87923,37.692135,28,Colonoscopy and biopsy,0,39,5,0,no,,1,0,6,81,wolfe,
STEPHEN C. PARDYS,SAN FRANCISCO,-122.45264,37.787437,44,Colonoscopy and biopsy,0,14,1,0,no,,1,0,2,66,pardys,
RICHARD J. KRAMER,SAN JOSE,-121.93192,37.313755,42,Colonoscopy and biopsy,0,12,1,0,no,,-10,0,-9,1,kramer,1
"MARIN ENDOSCOPY CENTER, LLC",GREENBRAE,-122.53635,37.944321,,Colonoscopy and biopsy,0,237,9,0,no,,-10,0,-1,56,"marin endoscopy center, llc",1
STANLEY B. GOLDBERG,SAN FRANCISCO,-122.40651,37.755527,,Colonoscopy and biopsy,0,12,1,0,no,,-9,0,-8,6,goldberg,
JAMES DAVILLA,LOS GATOS,-121.95128,37.250919,35,Colonoscopy and biopsy,0,39,5,0,no,,1,0,6,81,davilla,
MA SOMSOUK,SAN FRANCISCO,-122.40651,37.755527,12,Colonoscopy and biopsy,0,18,2,0,no,,-9,0,-7,16,somsouk,
DAVID E. BITAR,BERKELEY,-122.25958,37.85746,43,Colonoscopy and biopsy,10,12,1,0,yes,,1,0,-8,6,bitar,1
SINDA MEIN,PALO ALTO,-122.16225,37.439377,16,Colonoscopy and biopsy,0,73,7,0,no,,-10,0,-3,46,mein,1
ZEALOUS D. WILEY,OAKLAND,-122.26214,37.821316,,Colonoscopy and biopsy,0,11,1,0,no,,-6,0,-5,26,wiley,
BRENNAN SCOTT,PALO ALTO,-122.16225,37.439377,17,Colonoscopy and biopsy,0,63,6,0,no,,-10,0,-4,31,scott,1
SAN FRANCISCO ENDOSCOPY CENTER LLC,SAN FRANCISCO,-122.45122,37.786755,,Colonoscopy and biopsy,0,535,10,0,no,,-10,0,0,61,san francisco endoscopy center llc,1
HUILAN CHENG,BERKELEY,-122.25665,37.85601,20,Colonoscopy and biopsy,0,110,8,0,no,,-6,0,2,66,cheng,
