fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
STACY J. UYBICO,SAN FRANCISCO,-122.45493,37.786255,8,Ct head/brain w/o dye,0,27,4,0,no,,2,0,6,69,uybico,
JAMES M. O'DONOHUE,SAN JOSE,-121.79955,37.240379,35,Ct head/brain w/o dye,0,19,3,0,no,,2,0,5,60,o'donohue,
EDWARD L. BAKER,SAN FRANCISCO,-122.43099,37.791183,39,Ct head/brain w/o dye,0,72,7,0,no,,2,0,9,76,baker,
RICHARD J. SILBERSTEIN,SAN JOSE,-121.93192,37.313755,36,Ct head/brain w/o dye,0,17,2,0,no,,-6,0,-4,10,silberstein,
ALEXANDER HABIBIAN,PALO ALTO,-122.16225,37.439377,26,Ct head/brain w/o dye,0,11,1,0,no,,-10,0,-9,1,habibian,1
CHRISTINE H. OH,WALNUT CREEK,-122.05819,37.89222,17,Ct head/brain w/o dye,0,12,1,0,no,,2,0,3,16,oh,
KATHERINE F. JUE,WALNUT CREEK,-122.05819,37.89222,15,Ct head/brain w/o dye,0,15,2,0,no,,2,0,4,44,jue,
BO YOON HA,SAN JOSE,-121.93192,37.313755,17,Ct head/brain w/o dye,0,14,1,0,no,,8,0,9,76,ha,
SHILPA KUMBHANI,OAKLAND,-122.25773,37.824139,9,Ct head/brain w/o dye,0,17,2,0,no,,2,0,4,44,kumbhani,
MARK K. SARKISIAN,SAN JOSE,-121.79955,37.240379,28,Ct head/brain w/o dye,0,23,3,0,no,,-10,0,-7,4,sarkisian,1
RICHARD C. PLACONE,VALLEJO,-122.24767,38.128399,28,Ct head/brain w/o dye,0,18,2,0,no,,2,0,4,44,placone,
ELISABETH C. SPECHT,WALNUT CREEK,-122.05819,37.89222,35,Ct head/brain w/o dye,0,36,5,0,no,,2,0,7,72,specht,
ANDREW J. NICKS,NAPA,-122.29639,38.323505,45,Ct head/brain w/o dye,0,175,9,0,no,,3,0,12,85,nicks,
PREMIERE SCAN PC,SAN JOSE,-121.94996,37.313454,,Ct head/brain w/o dye,0,13,1,0,no,,1,0,2,13,premiere scan pc,
VYTHAO T. TRAN,SAN JOSE,-121.93192,37.313755,7,Ct head/brain w/o dye,0,11,1,0,no,,2,0,3,16,tran,
ROBERT L. WIRTH,GREENBRAE,-122.5358,37.948872,30,Ct head/brain w/o dye,0,430,10,0,no,,2,0,12,85,wirth,
ELAINE CHU,OAKLAND,-122.25773,37.824139,17,Ct head/brain w/o dye,0,12,1,0,no,,2,0,3,16,chu,
STEPHEN C. WEI,SAN FRANCISCO,-122.43961,37.792324,11,Ct head/brain w/o dye,0,426,10,0,no,,2,0,12,85,wei,
BENJAMIN H. BAK,SUNNYVALE,-122.0601,37.353806,19,Ct head/brain w/o dye,0,142,8,0,no,,2,0,10,82,bak,
CHRISTOPHER D. TRAN,LIVERMORE,-121.78258,37.678764,23,Ct head/brain w/o dye,0,384,10,0,no,,4,0,14,94,tran,
CAROLINE D. SHERBOURNE,WALNUT CREEK,-122.05819,37.89222,22,Ct head/brain w/o dye,0,13,1,0,no,,2,0,3,16,sherbourne,
AARON R. HOCHBERG,WALNUT CREEK,-122.05819,37.89222,9,Ct head/brain w/o dye,0,11,1,0,no,,2,0,3,16,hochberg,
RIAZ S. DHANANI,WALNUT CREEK,-122.04226,37.914101,9,Ct head/brain w/o dye,0,111,8,0,no,,7,0,15,97,dhanani,
KRAMMIE CHAN,OAKLAND,-122.25773,37.824139,24,Ct head/brain w/o dye,10,19,3,0,yes,,2,0,-5,7,chan,1
BRITTA M. GOODING,STINSON BEACH,-122.63796,37.897793,19,Ct head/brain w/o dye,0,18,2,0,no,,2,0,4,44,gooding,
EUGENE ONG,VALLEJO,-122.24767,38.128399,33,Ct head/brain w/o dye,0,18,2,0,no,,2,0,4,44,ong,
JOSEPH D. MARKO,VALLEJO,-122.24767,38.128399,13,Ct head/brain w/o dye,0,22,3,0,no,,2,0,5,60,marko,
HAN YUAN ALICE CHONG,SAN FRANCISCO,-122.40893,37.795712,13,Ct head/brain w/o dye,0,14,1,0,no,,2,0,3,16,chong,
BARBARA L. SCHMITZ,HAYWARD,-122.09615,37.630245,41,Ct head/brain w/o dye,0,11,1,0,no,,2,0,3,16,schmitz,
MELISSA E. SIMS,SAN FRANCISCO,-122.45493,37.786255,,Ct head/brain w/o dye,0,14,1,0,no,,2,0,3,16,sims,
GLENN NAKAZAWA,SANTA CLARA,-121.97765,37.342171,,Ct head/brain w/o dye,0,12,1,0,no,,2,0,3,16,nakazawa,
LINDA IZQUIERDO,SAN JOSE,-121.79955,37.240379,45,Ct head/brain w/o dye,0,19,3,0,no,,2,0,5,60,izquierdo,
