fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
PHILIP F. NAKASHIMA,SAN FRANCISCO,-122.43841,37.785461,20,Electrocardiogram complete,0,25,4,0,no,,9,0,13,85,nakashima,
FRED BAYON,VALLEJO,-122.21243,38.070339,30,Electrocardiogram complete,0,24,3,7,no,931,-4,0,-8,3,bayon,
WILLIAM B. PARMER,SAN FRANCISCO,-122.45768,37.785908,42,Electrocardiogram complete,0,131,8,0,no,,-1,0,7,49,parmer,
RONALD G. CAMPOS,WALNUT CREEK,-122.05292,37.894955,38,Electrocardiogram complete,0,49,6,8,no,1919,5,0,3,40,campos,
SURJIT K. MAHAL,FREMONT,-121.9827,37.549034,42,Electrocardiogram complete,0,16,2,0,no,,10,0,12,77,mahal,
DONALD R. KNOTTS,CASTRO VALLEY,-122.08701,37.69746,40,Electrocardiogram complete,0,22,3,0,no,,5,0,8,55,knotts,
MICHAEL PONEDELNIKOV,SANTA CLARA,-121.99574,37.333,26,Electrocardiogram complete,0,28,4,0,no,,8,0,12,77,ponedelnikov,
JACK L. COOMBS,SAN JOSE,-121.94822,37.251129,45,Electrocardiogram complete,0,13,1,0,no,,6,0,7,49,coombs,
ANDREW C. PATRINELLIS,YOUNTVILLE,-122.35969,38.400494,17,Electrocardiogram complete,0,61,6,0,no,,8,0,14,87,patrinellis,
MICHAEL J. SCHIERMAN,DANVILLE,-121.91675,37.799988,27,Electrocardiogram complete,0,23,3,0,no,,-3,0,0,20,schierman,
SUZANNE C. BODOR,BERKELEY,-122.25766,37.854919,28,Electrocardiogram complete,0,15,2,0,no,,-1,0,1,30,bodor,
RAU V. BUI,SAN JOSE,-121.87767,37.341473,42,Electrocardiogram complete,0,213,9,0,no,,7,0,16,95,bui,
CARMELO ROCO,SAN FRANCISCO,-122.40968,37.788162,34,Electrocardiogram complete,0,54,6,0,no,,-1,-5,0,20,roco,
CHARLES J. RENNER,CONCORD,-121.96732,37.955772,26,Electrocardiogram complete,0,18,2,0,no,,10,0,12,77,renner,
MARY M. BRKICH,SAN JOSE,-121.83755,37.314621,,Electrocardiogram complete,0,54,6,0,no,,5,0,11,71,brkich,
HENRY WEINSTOCK,SAN JOSE,-121.84826,37.363342,32,Electrocardiogram complete,0,32,4,0,no,,5,0,9,60,weinstock,
GRACE TEE,SAN JOSE,-121.84842,37.363323,15,Electrocardiogram complete,10,16,2,0,yes,,10,0,2,35,tee,1
JONATHAN NOBLE,BERKELEY,-122.26982,37.863155,46,Electrocardiogram complete,0,77,7,4,no,364,-3,0,0,20,noble,
TIGHE R. OHANRAHAN,WALNUT CREEK,-122.04181,37.91201,43,Electrocardiogram complete,0,41,5,0,no,,7,0,12,77,ohanrahan,
TOLBERT J. SMALL,OAKLAND,-122.24936,37.794693,72,Electrocardiogram complete,0,93,7,0,no,,9,0,16,95,small,
JENNIFER HUBERT,SANTA ROSA,-122.72651,38.47327,13,Electrocardiogram complete,0,16,2,0,no,,-2,0,0,20,hubert,
MICHAEL S. CAHN,SAN JOSE,-121.93992,37.325565,57,Electrocardiogram complete,0,23,3,0,no,,6,0,9,60,cahn,
SARAH WATSON,MENLO PARK,-122.18795,37.452675,,Electrocardiogram complete,0,29,4,0,no,,-5,0,-1,14,watson,
STEPHEN E. WELTER,NOVATO,-122.5592,38.09761,37,Electrocardiogram complete,0,104,8,0,no,,-1,0,7,49,welter,
BIQI GAO,FREMONT,-121.93096,37.492573,29,Electrocardiogram complete,0,14,1,0,no,,-4,0,-3,8,gao,
ROLLINGTON FERGUSON,OAKLAND,-122.26468,37.816376,24,Electrocardiogram complete,0,408,10,0,no,,-4,0,6,46,ferguson,
GENEROSO P. PORCIUNCULA,HAYWARD,-122.0785,37.631451,43,Electrocardiogram complete,0,71,7,0,no,,8,0,15,92,porciuncula,
JOHN W. ROBERTS,DANVILLE,-121.91675,37.799988,31,Electrocardiogram complete,0,58,6,0,no,,-4,0,2,35,roberts,
DERRINA L. WU,SAN FRANCISCO,-122.45293,37.786537,21,Electrocardiogram complete,0,15,2,0,no,,7,0,9,60,wu,
RICHARD J. ANDOLSEN,HEALDSBURG,-122.86396,38.62595,39,Electrocardiogram complete,0,20,3,0,no,,-2,0,1,30,andolsen,
EPIFANIO J. DELEON,WALNUT CREEK,-122.07099,37.877762,16,Electrocardiogram complete,0,21,3,3,no,330,6,0,6,46,deleon,
RONY Y. KAKO,NAPA,-122.29488,38.319992,26,Electrocardiogram complete,0,12,1,0,no,,8,0,9,60,kako,
BING X. FOLEY,SAN FRANCISCO,-122.40904,37.799866,22,Electrocardiogram complete,0,20,3,0,no,,-1,0,2,35,foley,
ALAN R. COHEN,OAKLAND,-122.26472,37.817242,41,Electrocardiogram complete,0,19,3,0,no,,-3,0,0,20,cohen,
DINH X. DAM,SAN JOSE,-121.84796,37.363129,34,Electrocardiogram complete,0,42,5,0,no,,7,0,12,77,dam,
HOPE A. BECKLUND,SEBASTOPOL,-122.82023,38.396774,20,Electrocardiogram complete,0,13,1,0,no,,8,0,9,60,becklund,
DAVID M. JUE,NAPA,-122.29488,38.319992,19,Electrocardiogram complete,0,11,1,0,no,,8,0,9,60,jue,
MUNIR JAVED,MOUNTAIN VIEW,-122.07795,37.372345,31,Electrocardiogram complete,0,12,1,6,no,858,-5,0,-10,1,javed,
KRISTINE W. BATTEN,WALNUT CREEK,-122.04305,37.912754,37,Electrocardiogram complete,0,208,9,0,no,,-1,0,8,55,batten,
MUKESH H. NAIK,VACAVILLE,-121.95319,38.356411,26,Electrocardiogram complete,0,26,4,0,no,,6,0,10,66,naik,
JON C. RASAK,SAN RAMON,-121.99117,37.773804,23,Electrocardiogram complete,0,22,3,0,no,,8,0,11,71,rasak,
KAMAL E. SHAMASH,DALY CITY,-122.47624,37.665237,44,Electrocardiogram complete,0,88,7,0,no,,-3,0,4,42,shamash,
STEPHEN J. SOMMER,OAKLAND,-122.24844,37.82946,46,Electrocardiogram complete,0,23,3,0,no,,-1,0,2,35,sommer,
WILLIAM SELLMAN,ALAMEDA,-122.24123,37.763561,18,Electrocardiogram complete,0,12,1,0,no,,-4,0,-3,8,sellman,
SANDRA E. GOLDSTEIN,ORINDA,-122.18171,37.877193,,Electrocardiogram complete,0,17,2,0,no,,-2,0,0,20,goldstein,
BENJAMIN Z. FONG,SAN FRANCISCO,-122.45302,37.774872,33,Electrocardiogram complete,0,15,2,1,no,259,-5,5,1,30,fong,
