fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
RUBY SANCHEZ,SAN FRANCISCO,-122.41895,37.757236,11,Eye exam new patient,0,55,6,0,no,,-3,0,3,24,sanchez,
EDWIN K. LARSEN,NAPA,-122.29292,38.297367,19,Eye exam new patient,0,45,5,0,no,,4,0,9,66,larsen,
ALEXANDER C. LEE,CUPERTINO,-122.03168,37.335934,,Eye exam new patient,0,1063,10,0,no,,4,0,14,93,lee,
ROBERT E. NEGER,SAN JOSE,-121.93674,37.327038,42,Eye exam new patient,0,41,5,0,no,,-2,0,3,24,neger,
VALERIE S. GARDEN,SANTA ROSA,-122.66354,38.442688,25,Eye exam new patient,0,29,4,0,no,,4,0,8,58,garden,
KHANH D. BUI,SAN JOSE,-121.82295,37.299286,22,Eye exam new patient,0,19,3,0,no,,3,0,6,43,bui,
RANDY HUA,SAN JOSE,-121.80759,37.368031,8,Eye exam new patient,0,12,1,0,no,,5,0,6,43,hua,
FRANCISCO A. GARCIA,SAN FRANCISCO,-122.41899,37.757648,50,Eye exam new patient,0,40,5,0,no,,-3,0,2,21,garcia,
GEORGE R. HEWES,SAN JOSE,-121.93743,37.327026,48,Eye exam new patient,0,26,4,0,no,,-8,0,-4,10,hewes,
THOMAS M. SWIFT,SAN FRANCISCO,-122.43245,37.789112,32,Eye exam new patient,0,26,4,0,no,,-8,0,-4,10,swift,
RAHUL K. SINGH,REDWOOD CITY,-122.23472,37.486233,,Eye exam new patient,0,648,10,0,no,,5,0,15,94,singh,
ROBERT B. NEVES,SAN RAMON,-121.96678,37.77626,20,Eye exam new patient,0,120,8,0,no,,5,0,13,88,neves,
JULIE NG,PALO ALTO,-122.16225,37.439377,22,Eye exam new patient,0,11,1,0,no,,-10,0,-9,1,ng,1
BARRY S. GREEN,SEBASTOPOL,-122.8247,38.401115,29,Eye exam new patient,0,29,4,0,no,,4,0,8,58,green,
DANNY Y. LIN,SAN FRANCISCO,-122.4324,37.790154,15,Eye exam new patient,0,13,1,0,no,,3,0,4,27,lin,
JOSEPH D. WONG,WALNUT CREEK,-122.0704,37.878197,40,Eye exam new patient,0,20,3,0,no,,2,0,5,32,wong,
NORMAN J. MINTZ,SEBASTOPOL,-122.8392,38.408253,38,Eye exam new patient,0,20,3,0,no,,6,0,9,66,mintz,
JENNIFER N. LE,SAN JOSE,-121.79359,37.313541,,Eye exam new patient,0,29,4,0,no,,3,0,7,52,le,
RUPINDER K. MANN,DANVILLE,-121.9919,37.807648,,Eye exam new patient,0,98,7,0,no,,3,0,10,69,mann,
GORDON L. EPSTEIN,SAN LEANDRO,-122.15463,37.722321,37,Eye exam new patient,0,12,1,0,no,,6,0,7,52,epstein,
JENNIFER HSIOU-WEI KAO,SAN JOSE,-121.88663,37.387875,31,Eye exam new patient,0,77,7,0,no,,3,0,10,69,kao,
