fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
LINDA H. FRESCO,MENLO PARK,-122.18795,37.452675,20,Admin influenza virus vac,0,31,4,0,no,,9,0,13,68,fresco,
LAKSHMI MYNENI,MOUNTAIN VIEW,-122.08175,37.369045,28,Admin influenza virus vac,0,25,4,0,no,,-2,0,2,15,myneni,
NELSON BUNIN,ALBANY,-122.29665,37.89043,46,Admin influenza virus vac,0,25,4,0,no,,8,0,12,58,bunin,
LILLIAN LEONG,WALNUT CREEK,-122.04186,37.910461,10,Admin influenza virus vac,0,14,1,0,no,,-2,0,-1,7,leong,
RONG SHEN,SAN FRANCISCO,-122.40741,37.796867,15,Admin influenza virus vac,0,45,5,0,no,,10,0,15,84,shen,
JACKIE A. BOLDS,NEWARK,-122.0282,37.536594,30,Admin influenza virus vac,0,13,1,0,no,,-3,0,-2,4,bolds,
TERESA CHENG,SUNNYVALE,-122.0287,37.367916,15,Admin influenza virus vac,0,33,5,0,no,,8,0,13,68,cheng,
KIMBERELY CARLSON,MOUNTAIN VIEW,-122.06483,37.377022,14,Admin influenza virus vac,0,25,4,0,no,,8,0,12,58,carlson,
RATNASOTHY S. RAJAH,SAN LEANDRO,-122.14181,37.714478,49,Admin influenza virus vac,0,68,7,0,no,,-1,0,6,30,rajah,
MICHAEL D. HOLMES,SEBASTOPOL,-122.82108,38.39817,39,Admin influenza virus vac,0,46,6,0,no,,6,0,12,58,holmes,
MICHELLE E. GUY,SAN FRANCISCO,-122.43997,37.785328,14,Admin influenza virus vac,0,17,2,0,no,,-3,0,-1,7,guy,
KHALIQ A. SHAH,SANTA CLARA,-121.95731,37.355827,21,Admin influenza virus vac,0,13,1,0,no,,10,0,11,50,shah,
RALEY'S PHARMACY,PETALUMA,-122.62778,38.250198,,Admin influenza virus vac,0,53,6,0,no,,-1,0,5,26,raley's pharmacy,
CHIU J. YUAN,SAN JOSE,-121.89634,37.343765,49,Admin influenza virus vac,0,85,7,0,no,,10,0,17,94,yuan,
CHUNG-YING A. CHEN,SUNNYVALE,-122.0287,37.367916,15,Admin influenza virus vac,0,19,3,0,no,,8,0,11,50,chen,
