fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
JOHN W. BEARD,OAKLAND,-122.26199,37.820923,,Anesth lens surgery,0,20,3,0,no,,8,0,11,84,beard,
LUCAS G. TAN,SAN JOSE,-121.84842,37.363323,,Anesth lens surgery,0,241,9,0,no,,1,0,10,77,tan,
MING-JING WANG,SANTA CLARA,-121.97765,37.342171,32,Anesth lens surgery,0,24,3,0,no,,10,0,13,91,wang,
BLAKE A. VONDERHEIDE,WALNUT CREEK,-122.04226,37.914101,,Anesth lens surgery,0,13,1,0,no,,-1,0,0,45,vonderheide,
PATRICIA A. DAILEY,BURLINGAME,-122.38168,37.593174,36,Anesth lens surgery,0,34,5,0,no,,-6,0,-1,38,dailey,
STEVEN M. JOHNSON,SAN JOSE,-121.84842,37.363323,28,Anesth lens surgery,0,103,8,0,no,,3,0,11,84,johnson,
HELEN EVANS,PALO ALTO,-122.16225,37.439377,21,Anesth lens surgery,0,11,1,0,no,,-10,0,-9,1,evans,1
ERICA M. ROSEN,MOUNTAIN VIEW,-122.09046,37.42009,,Anesth lens surgery,0,15,2,0,no,,1,0,3,61,rosen,
MARK COPE,SANTA CLARA,-121.99573,37.332657,8,Anesth lens surgery,0,111,8,0,no,,2,0,10,77,cope,
ROBERT C. SINGLER,NAPA,-122.29639,38.323505,38,Anesth lens surgery,0,68,7,0,no,,-5,0,2,54,singler,
IK H. SUNG,PINOLE,-122.29725,38.004292,11,Anesth lens surgery,0,42,5,0,no,,-6,0,-1,38,sung,
DIANA REBMAN,GREENBRAE,-122.5358,37.948872,31,Anesth lens surgery,0,12,1,0,no,,-7,0,-6,11,rebman,
RONALD T. STAFFORD,FAIRFIELD,-122.04674,38.261127,45,Anesth lens surgery,0,31,4,0,no,,2,0,6,71,stafford,
MARC P. STEURER,SAN FRANCISCO,-122.40651,37.755527,13,Anesth lens surgery,0,14,1,0,no,,-10,0,-9,1,steurer,1
AHMED M. SHALABI,SAN FRANCISCO,-122.43987,37.784771,13,Anesth lens surgery,0,22,3,0,no,,-10,0,-7,8,shalabi,1
CELIA L. CARPENTER,BURLINGAME,-122.38168,37.593174,23,Anesth lens surgery,0,50,6,0,no,,10,0,16,99,carpenter,
SAMIR DZANKIC,WALNUT CREEK,-122.04226,37.914101,18,Anesth lens surgery,0,69,7,0,no,,-6,0,1,51,dzankic,
GREGORY KELLY,OAKLAND,-122.26199,37.820923,,Anesth lens surgery,0,32,4,0,no,,-8,0,-4,22,kelly,
EDWIN HOM,SAN FRANCISCO,-122.45493,37.786255,41,Anesth lens surgery,0,15,2,0,no,,-1,0,1,51,hom,
TIFFANY TOWNSEND,BURLINGAME,-122.38168,37.593174,14,Anesth lens surgery,0,31,4,0,no,,-5,0,-1,38,townsend,
ETHAN A. NICHOLLS,FREMONT,-121.98013,37.558487,26,Anesth lens surgery,0,32,4,0,no,,-7,0,-3,30,nicholls,
ROSHEN MORENO,VALLEJO,-122.23731,38.130699,26,Anesth lens surgery,0,69,7,0,no,,-7,0,0,45,moreno,
SCOTT RUDY,PALO ALTO,-122.16225,37.439377,12,Anesth lens surgery,0,21,3,0,no,,-9,0,-6,11,rudy,
ARASH ZEIGHAMI,GILROY,-121.57293,37.034969,10,Anesth lens surgery,0,13,1,0,no,,-6,0,-5,18,zeighami,
BRANDT A. FOREMAN,SAN JOSE,-121.93728,37.327084,,Anesth lens surgery,0,23,3,0,no,,-7,0,-4,22,foreman,
TESSA B. COLLINS,OAKLAND,-122.26199,37.820923,,Anesth lens surgery,0,23,3,0,no,,-5,0,-2,35,collins,
VIVIAN T. KIM,DALY CITY,-122.47305,37.679756,,Anesth lens surgery,0,35,5,0,no,,8,0,13,91,kim,
SHIRLEY LIU,REDWOOD CITY,-122.25326,37.480976,14,Anesth lens surgery,0,217,9,0,no,,5,0,14,95,liu,
JEFFREY S. STUART,FREMONT,-121.98214,37.556435,,Anesth lens surgery,0,146,8,0,no,,-8,0,0,45,stuart,
SIOBHAN HARRINGTON,MOUNTAIN VIEW,-122.09046,37.42009,,Anesth lens surgery,0,20,3,0,no,,1,0,4,66,harrington,
YOLANDA Q. TAM,CASTRO VALLEY,-122.08723,37.697979,11,Anesth lens surgery,0,17,2,0,no,,8,0,10,77,tam,
DANIEL A. ROWEN,BURLINGAME,-122.38168,37.593174,,Anesth lens surgery,0,17,2,0,no,,-8,0,-6,11,rowen,
ANN M. MALLAT,SAN JOSE,-121.94653,37.251133,,Anesth lens surgery,0,25,4,0,no,,-5,0,-1,38,mallat,
NOAH E. GORDON,SAN FRANCISCO,-122.45493,37.786255,11,Anesth lens surgery,0,12,1,0,no,,-7,0,-6,11,gordon,
LISA M. COLLINS,SAN PABLO,-122.33661,37.954762,17,Anesth lens surgery,0,261,9,0,no,,5,0,14,95,collins,
MARK E. KENTER,SAN JOSE,-121.93728,37.327084,,Anesth lens surgery,0,17,2,0,no,,-8,0,-6,11,kenter,
MARGARET HARRINGTON,SAN RAFAEL,-122.53341,37.972828,,Anesth lens surgery,0,95,7,0,no,,1,0,8,74,harrington,
BRIAN D. HERSHEY,WALNUT CREEK,-122.04226,37.914101,,Anesth lens surgery,0,185,9,0,no,,-5,0,4,66,hershey,
KEVIN A. FUKUDA,BURLINGAME,-122.38168,37.593174,21,Anesth lens surgery,0,48,6,0,no,,-5,0,1,51,fukuda,
CALVIN CHANG,SAN FRANCISCO,-122.45493,37.786255,48,Anesth lens surgery,0,31,4,0,no,,-4,0,0,45,chang,
PAUL ECKINGER,PALO ALTO,-122.16225,37.439377,,Anesth lens surgery,0,16,2,0,no,,-9,0,-7,8,eckinger,
HENRY KAMALI,SAN JOSE,-121.94653,37.251133,,Anesth lens surgery,0,26,4,0,no,,-7,0,-3,30,kamali,
JENS W. KROMBACH,SAN FRANCISCO,-122.40651,37.755527,20,Anesth lens surgery,0,14,1,0,no,,-10,0,-9,1,krombach,1
JOSEPH W. LEE,DALY CITY,-122.47305,37.679756,28,Anesth lens surgery,0,95,7,0,no,,-2,0,5,70,lee,
PAUL GILLBANKS,SAN LEANDRO,-122.12856,37.705212,,Anesth lens surgery,0,453,10,0,no,,3,0,13,91,gillbanks,
BETTY LEE-HOANG,SAN FRANCISCO,-122.45493,37.786255,16,Anesth lens surgery,0,12,1,0,no,,5,0,6,71,lee-hoang,
KAY M. ASTROTH,SAN RAFAEL,-122.55408,38.004623,,Anesth lens surgery,0,468,10,0,no,,1,0,11,84,astroth,
THOMAS H. CROMWELL,SAN FRANCISCO,-122.43099,37.791183,47,Anesth lens surgery,0,32,4,0,no,,8,0,12,88,cromwell,
ROBERT H. MEINTS,BURLINGAME,-122.38168,37.593174,19,Anesth lens surgery,0,60,6,0,no,,-4,0,2,54,meints,
PAZ Q. BILKEY,SAN JOSE,-121.84842,37.363323,46,Anesth lens surgery,0,40,5,0,no,,-1,0,4,66,bilkey,
TIMUR J. KARACA,OAKLAND,-122.26199,37.820923,12,Anesth lens surgery,0,22,3,0,no,,-6,0,-3,30,karaca,
SUDHA R. SAWKAR,VALLEJO,-122.23731,38.130699,42,Anesth lens surgery,0,50,6,0,no,,-6,0,0,45,sawkar,
FAIR H. WANG,CASTRO VALLEY,-122.07371,37.693714,24,Anesth lens surgery,0,13,1,0,no,,10,0,11,84,wang,
LEWIS S. MARGOLIS,REDWOOD CITY,-122.25326,37.480976,41,Anesth lens surgery,0,26,4,0,no,,-8,0,-4,22,margolis,
NALINI DESAI,GREENBRAE,-122.5358,37.948872,27,Anesth lens surgery,0,36,5,0,no,,-6,0,-1,38,desai,
