LAWRENCE W. CHAN,SUNNYVALE,19,3d rendering w/postprocess,,11,no,6,
ARI D. BARON,SAN FRANCISCO,24,5% dextrose/water,6750,77,no,5,
GARY CECCHI,BERKELEY,35,5% dextrose/water,,40,no,15,
CITY & COUNTY OF SAN FRANCISCO,SAN FRANCISCO,,ALS1-emergency,,9568,no,15,
AMERICAN MEDICAL RESPONSE WEST,SAN JOSE,,ALS1-emergency,,11,no,7,
CITY OF ALBANY FIRE DEPARTMENT,ALBANY,,ALS1-emergency,,102,no,13,
ANGOTTI HEALTHCARE SYSTEMS INC,SAN RAFAEL,,ALS1-emergency,,141,no,11,
VERIHEALTH INC,PETALUMA,,ALS1-emergency,,334,no,11,
CITY OF PIEDMONT,PIEDMONT,,ALS1-emergency,,15,no,6,
CITY OF BERKELEY FIRE DEPT,BERKELEY,,ALS1-emergency,,1213,no,14,
ALLIED MEDICAL SERVICES OF CALIFORNIA INC.,SAN FRANCISCO,,ALS1-emergency,,3856,no,13,
"NORTH STAR EMERGENCY SERVICES, INC.",OAKLAND,,ALS1-emergency,,507,no,12,
JENTA SHEN,SAN FRANCISCO,44,Abd paracentesis,,19,no,13,
KEITH E. TAO,ANTIOCH,35,Abd paracentesis w/imaging,,17,no,7,
JON P. WACK,SAN FRANCISCO,46,Abd paracentesis w/imaging,,18,no,9,
ANUP K. SINGH,SAN JOSE,17,Abd paracentesis w/imaging,,27,no,8,
MOHAMMAD H. MIR-SEPASI,SANTA ROSA,51,Ablate atria w/bypass add-on,,11,no,11,
KEITH F. KORVER,SANTA ROSA,32,Ablate atria w/bypass add-on,,18,no,3,
MICHAEL MAIMAN,OAKLAND,39,Abscess drainage under x-ray,,20,no,10,
WENDELL W. WENNEKER,NAPA,33,Access av dial grft for eval,,23,yes,3,
EDWARD A. LEBOWITZ,SAN JOSE,,Access av dial grft for eval,,12,no,8,
SAMUEL J. WONG,BERKELEY,26,Access av dial grft for eval,,159,no,14,
PHYLLIS BURT,PETALUMA,44,Acoustic immitance testing,,56,no,9,
HERBERT A. HOLMAN,CASTRO VALLEY,41,Added skin lesions injection,,33,no,12,
JOHN H. LIEN,SAN JOSE,27,Adenosine injection,,610,no,13,
NORMAN S. LOWENBRAUN,SAN JOSE,29,Adenosine injection,,62,no,15,
HELEN HO,FREMONT,26,Admin hepatitis b vaccine,,19,no,5,
MARK BELTRAN,BURLINGAME,25,Admin influenza virus vac,,43,no,8,
ERIC G. LIM,SAN FRANCISCO,21,Admin influenza virus vac,,328,no,15,
ARSEEN E. SOLIMAN,CONCORD,15,Admin influenza virus vac,,168,no,12,
