LAWRENCE W. CHAN,SUNNYVALE,19,3d rendering w/postprocess,,11,no,1,1
ARI D. BARON,SAN FRANCISCO,24,5% dextrose/water,6750,77,no,7,1
GARY CECCHI,BERKELEY,35,5% dextrose/water,,40,no,12,51
CITY OF BERKELEY FIRE DEPT,BERKELEY,,ALS1-emergency,,1213,no,2,56
VERIHEALTH INC,PETALUMA,,ALS1-emergency,,334,no,0,23
ALLIED MEDICAL SERVICES OF CALIFORNIA INC.,SAN FRANCISCO,,ALS1-emergency,,3856,no,0,23
ANGOTTI HEALTHCARE SYSTEMS INC,SAN RAFAEL,,ALS1-emergency,,141,no,-2,12
CITY & COUNTY OF SAN FRANCISCO,SAN FRANCISCO,,ALS1-emergency,,9568,no,16,89
CITY OF ALBANY FIRE DEPARTMENT,ALBANY,,ALS1-emergency,,102,no,4,78
AMERICAN MEDICAL RESPONSE WEST,SAN JOSE,,ALS1-emergency,,11,no,3,67
CITY OF PIEDMONT,PIEDMONT,,ALS1-emergency,,15,no,-6,1
"NORTH STAR EMERGENCY SERVICES, INC.",OAKLAND,,ALS1-emergency,,507,no,0,23
JENTA SHEN,SAN FRANCISCO,44,Abd paracentesis,,19,no,7,1
ANUP K. SINGH,SAN JOSE,17,Abd paracentesis w/imaging,,27,no,-1,1
JON P. WACK,SAN FRANCISCO,46,Abd paracentesis w/imaging,,18,no,6,34
KEITH E. TAO,ANTIOCH,35,Abd paracentesis w/imaging,,17,no,9,67
KEITH F. KORVER,SANTA ROSA,32,Ablate atria w/bypass add-on,,18,no,-8,1
MOHAMMAD H. MIR-SEPASI,SANTA ROSA,51,Ablate atria w/bypass add-on,,11,no,2,51
MICHAEL MAIMAN,OAKLAND,39,Abscess drainage under x-ray,,20,no,7,1
SAMUEL J. WONG,BERKELEY,26,Access av dial grft for eval,,159,no,9,67
EDWARD A. LEBOWITZ,SAN JOSE,,Access av dial grft for eval,,12,no,2,34
WENDELL W. WENNEKER,NAPA,33,Access av dial grft for eval,,23,yes,-6,1
PHYLLIS BURT,PETALUMA,44,Acoustic immitance testing,,56,no,1,1
HERBERT A. HOLMAN,CASTRO VALLEY,41,Added skin lesions injection,,33,no,11,1
JOHN H. LIEN,SAN JOSE,27,Adenosine injection,,610,no,6,1
NORMAN S. LOWENBRAUN,SAN JOSE,29,Adenosine injection,,62,no,10,51
HELEN HO,FREMONT,26,Admin hepatitis b vaccine,,19,no,-1,1
LINDA H. FRESCO,MENLO PARK,20,Admin influenza virus vac,,31,no,13,68
LAKSHMI MYNENI,MOUNTAIN VIEW,28,Admin influenza virus vac,,25,no,2,15
NELSON BUNIN,ALBANY,46,Admin influenza virus vac,,25,no,12,58
LILLIAN LEONG,WALNUT CREEK,10,Admin influenza virus vac,,14,no,-1,7
RONG SHEN,SAN FRANCISCO,15,Admin influenza virus vac,,45,no,15,84
JACKIE A. BOLDS,NEWARK,30,Admin influenza virus vac,,13,no,-2,4
TERESA CHENG,SUNNYVALE,15,Admin influenza virus vac,,33,no,13,68
KIMBERELY CARLSON,MOUNTAIN VIEW,14,Admin influenza virus vac,,25,no,12,58
RATNASOTHY S. RAJAH,SAN LEANDRO,49,Admin influenza virus vac,,68,no,6,30
MICHAEL D. HOLMES,SEBASTOPOL,39,Admin influenza virus vac,,46,no,12,58
MICHELLE E. GUY,SAN FRANCISCO,14,Admin influenza virus vac,,17,no,-1,7
KHALIQ A. SHAH,SANTA CLARA,21,Admin influenza virus vac,,13,no,11,50
RALEY'S PHARMACY,PETALUMA,,Admin influenza virus vac,,53,no,5,26
CHIU J. YUAN,SAN JOSE,49,Admin influenza virus vac,,85,no,17,94
CHUNG-YING A. CHEN,SUNNYVALE,15,Admin influenza virus vac,,19,no,11,50
MARCO PAVESI,FREMONT,37,Admin influenza virus vac,,49,no,16,90
JONATHAN L. BARASH,SAN FRANCISCO,,Admin influenza virus vac,,18,no,-2,4
MARLON DECASTRO,SANTA ROSA,17,Admin influenza virus vac,,81,no,15,84
KATHLEEN WISHART,NAPA,,Admin influenza virus vac,,13,no,8,34
JULIA S. HOHMAN,WALNUT CREEK,14,Admin influenza virus vac,,37,no,14,76
DHANU KAPOOR,SANTA CLARA,24,Admin influenza virus vac,,14,no,10,43
MARIA ANDRAE-HAMMOND,ORINDA,7,Admin influenza virus vac,,31,no,2,15
ASHWANI K. BINDAL,FREMONT,37,Admin influenza virus vac,,79,no,17,94
THOMAS MCDONALD,PALO ALTO,,Admin influenza virus vac,,16,no,10,43
LESLEY A. DEBRIER,NOVATO,13,Admin influenza virus vac,,13,no,-1,7
XIAOGUANG HUANG,OAKLAND,32,Admin influenza virus vac,1010,538,no,12,58
JEANETTE M. WILLIAMS,CALISTOGA,13,Admin influenza virus vac,,38,no,2,15
RICHARD M. GERBER,SAN FRANCISCO,34,Admin influenza virus vac,,76,no,4,23
ALVIN D. WONG,SAN FRANCISCO,28,Admin influenza virus vac,,61,no,5,26
BARBARA H. KOSTICK,FREMONT,43,Admin influenza virus vac,,39,no,14,76
HARVEY SACHS,SAN JOSE,47,Admin influenza virus vac,,21,no,9,37
PAUL KIM,DUBLIN,19,Admin influenza virus vac,,12,no,9,37
