fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
JOHN V. COLLIN,MOUNTAIN VIEW,-122.07795,37.369011,43,Tissue exam by pathologist,0,130,8,0,no,,8,0,16,93,collin,
DALE R. WESTROM,SANTA ROSA,-122.70192,38.440578,34,Tissue exam by pathologist,0,28,4,0,no,,3,0,7,41,westrom,
PRECISION PATHOLOGY MEDICAL GROUP INC,SAN RAMON,-121.95904,37.775734,,Tissue exam by pathologist,0,2355,10,0,no,,-6,0,4,22,precision pathology medical group inc,
SARVENAZ ZAND,GREENBRAE,-122.53651,37.944443,9,Tissue exam by pathologist,0,21,3,0,no,,-5,0,-2,5,zand,
HISTOPATHOLOGY REFERENCE LABORATORY,HERCULES,-122.27437,38.019379,,Tissue exam by pathologist,0,43,5,0,no,,6,0,11,66,histopathology reference laboratory,
EVAN M. BLOCH,ATHERTON,-122.20705,37.465885,,Tissue exam by pathologist,0,711,10,0,no,,2,0,12,71,bloch,
KEDAR C. PRASAD,GREENBRAE,-122.5358,37.948872,17,Tissue exam by pathologist,0,79,7,0,no,,-5,0,2,13,prasad,
BERNARD LARNER,WALNUT CREEK,-122.04226,37.914101,,Tissue exam by pathologist,0,1651,10,0,no,,-5,0,5,28,larner,
JOHN WOLFE,SANTA ROSA,-122.70114,38.442978,34,Tissue exam by pathologist,0,175,9,0,no,,1,0,10,63,wolfe,
RODERICK SNOW,SAN FRANCISCO,-122.40893,37.795712,51,Tissue exam by pathologist,0,22,3,0,no,,2,0,5,28,snow,
DAWN M. DARBONNE,SAN JOSE,-121.93192,37.313755,14,Tissue exam by pathologist,0,16,2,0,no,,6,0,8,48,darbonne,
JON C. ROSS,SAN FRANCISCO,-122.45493,37.786255,39,Tissue exam by pathologist,0,446,10,0,no,,-7,0,3,19,ross,
NANCY C. LI,OAKLAND,-122.23111,37.799191,25,Tissue exam by pathologist,0,28,4,0,no,,2,0,6,33,li,
