fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
JAIME O. CORTES,OAKLAND,-122.23176,37.780819,22,Triamcinolone acet inj NOS,10,134,8,7,yes,1099,8,0,-1,1,cortes,1
MARVIN Y. LO,DALY CITY,-122.47292,37.680737,12,Triamcinolone acet inj NOS,0,29,4,0,no,,-1,0,3,7,lo,
CLAUDIA S. KUZIS,MOUNTAIN VIEW,-122.06483,37.377022,35,Triamcinolone acet inj NOS,0,108,8,0,no,,-2,0,6,34,kuzis,
WILLIAM C. LONGTON,WALNUT CREEK,-122.04226,37.914101,25,Triamcinolone acet inj NOS,0,459,10,0,no,,4,0,14,65,longton,
JEFFREY L. HALBRECHT,SAN FRANCISCO,-122.4324,37.790154,30,Triamcinolone acet inj NOS,0,61,6,0,no,,-1,10,15,69,halbrecht,
HO T. TAN,SAN FRANCISCO,-122.40965,37.795681,51,Triamcinolone acet inj NOS,0,1773,10,0,no,,-5,0,5,18,tan,
KENNETH H. AKIZUKI,SAN FRANCISCO,-122.42309,37.787361,21,Triamcinolone acet inj NOS,0,320,10,0,no,,9,10,29,98,akizuki,
ARTHUR BOBROVE,PALO ALTO,-122.16225,37.439377,47,Triamcinolone acet inj NOS,0,333,10,0,no,,-1,0,9,49,bobrove,
MORTEZA M. FARR,SAN JOSE,-121.8462,37.361176,18,Triamcinolone acet inj NOS,0,1653,10,0,no,,10,-4,16,78,farr,
DAVID F. SMOLINS,REDWOOD CITY,-122.22683,37.490833,12,Triamcinolone acet inj NOS,0,23,3,0,no,,5,0,8,45,smolins,
PAUL B. ROACHE,SAN FRANCISCO,-122.42252,37.786957,25,Triamcinolone acet inj NOS,0,40,5,0,no,,10,0,15,69,roache,
BRYAN CHO,MOUNTAIN VIEW,-122.06483,37.377022,12,Triamcinolone acet inj NOS,0,57,6,0,no,,-2,0,4,12,cho,
STEVEN BARTIS,FREMONT,-121.97461,37.549271,23,Triamcinolone acet inj NOS,0,27,4,0,no,,-2,0,2,5,bartis,
KEVIN S. FINNESEY,SAN MATEO,-122.32783,37.56794,,Triamcinolone acet inj NOS,0,34,5,0,no,,-4,0,1,3,finnesey,
JOSEPH M. CENTENO,VALLEJO,-122.23979,38.131104,14,Triamcinolone acet inj NOS,0,64,6,0,no,,-1,0,5,18,centeno,
COLIN EAKIN,PALO ALTO,-122.16225,37.439377,23,Triamcinolone acet inj NOS,0,1596,10,0,no,,-2,0,8,45,eakin,
RUSSELL M. NORD,FREMONT,-121.98042,37.544956,11,Triamcinolone acet inj NOS,0,290,9,0,no,,-2,0,7,43,nord,
ELAINE DAVIS,MOUNTAIN VIEW,-122.06483,37.377022,30,Triamcinolone acet inj NOS,0,44,5,0,no,,10,0,15,69,davis,
ANGELA S. WHITE,SAN FRANCISCO,-122.45302,37.774872,,Triamcinolone acet inj NOS,0,68,7,0,no,,-1,0,6,34,white,
ELLIOTT HANDWERKER,ORINDA,-122.18066,37.878139,38,Triamcinolone acet inj NOS,0,32,4,0,no,,9,0,13,58,handwerker,
JAYE ANDAYA,MOUNTAIN VIEW,-122.06483,37.377022,,Triamcinolone acet inj NOS,0,108,8,0,no,,-2,0,6,34,andaya,
KEVIN MURRAY,SUNNYVALE,-122.06483,37.377022,20,Triamcinolone acet inj NOS,0,128,8,0,no,,-3,0,5,18,murray,
JOHN A. AMBROSINO,CONCORD,-122.03406,37.985153,33,Triamcinolone acet inj NOS,0,59,6,0,no,,-1,0,5,18,ambrosino,
ERIC J. SMITH,BERKELEY,-122.25949,37.858109,36,Triamcinolone acet inj NOS,0,75,7,0,no,,7,0,14,65,smith,
DAVID W. WU,WALNUT CREEK,-122.04181,37.91201,16,Triamcinolone acet inj NOS,0,390,10,0,no,,9,0,19,87,wu,
LINDA OGELVIE,PALO ALTO,-122.16225,37.439377,,Triamcinolone acet inj NOS,0,120,8,0,no,,-3,0,5,18,ogelvie,
JOAN HART,WALNUT CREEK,-122.02595,37.926155,22,Triamcinolone acet inj NOS,0,406,10,0,no,,0,0,10,52,hart,
