fullname,city,longitude,latitude,yearspracticing,proc,malp,services_count,services10,pharma10,malp_word,pharmadollars,diff10new,yelp10new,score,scoreptile,lastlower,bad
GRETCHEN THOMPSON,CASTRO VALLEY,-122.07371,37.693726,,Ultrasound therapy,0,34,5,0,no,,-5,0,0,1,thompson,
DIANE M. KERN,BERKELEY,-122.26826,37.867561,14,Ultrasound therapy,0,26,4,0,no,,10,0,14,62,kern,
KATHRYN DRAGO,FREMONT,-121.97416,37.566692,4,Ultrasound therapy,0,94,7,0,no,,8,0,15,65,drago,
ANN C. GROVE,VALLEJO,-122.23854,38.131008,51,Ultrasound therapy,0,17,2,0,no,,-1,0,1,2,grove,
NANCY L. SCHAEZLEIN-ZIPSE,FAIRFIELD,-122.08477,38.235332,16,Ultrasound therapy,0,25,4,0,no,,-2,0,2,8,schaezlein-zipse,
MARC GUILLET,PALO ALTO,-122.16225,37.439377,23,Ultrasound therapy,0,32,4,0,no,,-3,0,1,2,guillet,
MARTIN D. SCHNEIDER,ANTIOCH,-121.8018,37.976601,32,Ultrasound therapy,0,628,10,0,no,,8,0,18,86,schneider,
DEBORAH A. VANDERBILT-ANDERSON,SAN RAMON,-121.99117,37.773804,18,Ultrasound therapy,0,252,9,0,no,,8,0,17,78,vanderbilt-anderson,
PATRICK E. DESROSIERS,SAN RAMON,-121.95986,37.776768,7,Ultrasound therapy,0,71,7,0,no,,-1,0,6,27,desrosiers,
IMEE HARSUVANAKIT,MILL VALLEY,-122.5246,37.881481,7,Ultrasound therapy,0,64,6,0,no,,-1,0,5,22,harsuvanakit,
KELLY K. DEALA,SAN JOSE,-121.92988,37.343773,4,Ultrasound therapy,0,121,8,0,no,,9,0,17,78,deala,
SUZANNE S. PATENAUDE,MORGAN HILL,-121.64124,37.110645,51,Ultrasound therapy,0,171,9,0,no,,-1,0,8,46,patenaude,
GEORGE N. LENDARIS,NAPA,-122.29495,38.320255,39,Ultrasound therapy,0,1436,10,0,no,,-3,0,7,37,lendaris,
RODNEY SILVEIRA,FREMONT,-121.98359,37.557121,32,Ultrasound therapy,0,77,7,0,no,,-3,0,4,18,silveira,
HITEN Y. DAVE,PLEASANTON,-121.87825,37.690163,29,Ultrasound therapy,0,39,5,0,no,,-2,0,3,11,dave,
KIMBERLY M. GLADFELTER,LOS ALTOS,-122.08582,37.352345,20,Ultrasound therapy,0,125,8,0,no,,-2,0,6,27,gladfelter,
MICHAEL J. KOURY,CASTRO VALLEY,-122.08011,37.699177,32,Ultrasound therapy,0,97,7,0,no,,-1,0,6,27,koury,
JOSHUA T. MARIAN,SANTA ROSA,-122.73477,38.451233,,Ultrasound therapy,0,29,4,0,no,,10,0,14,62,marian,
OLE C. BORGESEN,NOVATO,-122.5592,38.09761,24,Ultrasound therapy,0,43,5,0,no,,8,0,13,60,borgesen,
TIMOTHY J. HORNAK,SAN JOSE,-121.87766,37.343109,34,Ultrasound therapy,0,828,10,0,no,,-1,0,9,55,hornak,
IRINA NOSOVA,SAN FRANCISCO,-122.44611,37.787411,,Ultrasound therapy,0,59,6,0,no,,10,0,16,72,nosova,
MARILEE A. SQUIRES,SAN RAMON,-121.94512,37.772625,4,Ultrasound therapy,0,175,9,0,no,,-1,0,8,46,squires,
MARIE C. MORALES,BURLINGAME,-122.36626,37.597721,13,Ultrasound therapy,0,167,9,0,no,,-2,0,7,37,morales,
TED I. ELLQUIST,SANTA ROSA,-122.66707,38.4263,24,Ultrasound therapy,0,379,10,0,no,,10,0,20,95,ellquist,
MATTHEW C. STAUFFER,FREMONT,-121.98359,37.557121,8,Ultrasound therapy,0,190,9,0,no,,-3,0,6,27,stauffer,
SUSAN A. CUPPLES,EL CERRITO,-122.30149,37.900913,25,Ultrasound therapy,0,26,4,0,no,,-3,0,1,2,cupples,
OLIVER J. MOK,SAN FRANCISCO,-122.42888,37.743862,14,Ultrasound therapy,0,131,8,0,no,,-1,0,7,37,mok,
RANDY D. COUCH,ANTIOCH,-121.8018,37.976601,,Ultrasound therapy,0,396,10,0,no,,8,0,18,86,couch,
ROBERT D. MORGAN,MILL VALLEY,-122.52745,37.900318,39,Ultrasound therapy,0,707,10,0,no,,6,0,16,72,morgan,
BARBARA R. FONG,PLEASANTON,-121.89841,37.69228,35,Ultrasound therapy,0,101,8,0,no,,10,0,18,86,fong,
KATHRYN E. REITMAN,MENLO PARK,-122.18721,37.450829,,Ultrasound therapy,0,68,7,0,no,,10,0,17,78,reitman,
LESLIE MERKEN,WALNUT CREEK,-122.02595,37.926155,22,Ultrasound therapy,0,61,6,0,no,,-1,0,5,22,merken,
JEFFREY F. HARBAND,TIBURON,-122.50098,37.899189,22,Ultrasound therapy,0,407,10,0,no,,-2,0,8,46,harband,
KAREN A. SHANEYFELT,SAN FRANCISCO,-122.42888,37.743862,33,Ultrasound therapy,0,258,9,0,no,,-1,0,8,46,shaneyfelt,
TINA AVELAR,FOSTER CITY,-122.28054,37.556492,11,Ultrasound therapy,0,87,7,0,no,,10,0,17,78,avelar,
PATRICK K. KAM,SANTA ROSA,-122.66707,38.4263,16,Ultrasound therapy,0,429,10,0,no,,10,0,20,95,kam,
KEN BARIEL,SANTA ROSA,-122.60477,38.441353,38,Ultrasound therapy,0,290,9,0,no,,9,0,18,86,bariel,
TRACEY L. AIRTH-EDBLOM,PETALUMA,-122.63651,38.235432,26,Ultrasound therapy,0,62,6,0,no,,-1,0,5,22,airth-edblom,
GLENN E. SCHULZ,GILROY,-121.57397,37.036911,35,Ultrasound therapy,0,434,10,0,no,,-1,0,9,55,schulz,
WENDY LEVINE,PALO ALTO,-122.16225,37.439377,48,Ultrasound therapy,0,56,6,0,no,,-3,0,3,11,levine,
ANGELIKA VOSS-QUINN,LIVERMORE,-121.78239,37.660892,36,Ultrasound therapy,0,102,8,0,no,,-2,0,6,27,voss-quinn,
